 ,,,,,,,,,,,,,,,,,
Journal Title,Publisher,price ,price,per yr,pages,pages,"10,000 Characters", Factor,cites*,cites,cites,rec cite,Pub,in 1986,OCLC,ever,Field
Journal of Economic Studies,MCB,"$6,999","$6,999",520,,$13.46,, ,40,$174.98,11,$636.27,1965,400,21,86,General
International Journal of Finance & Economics,Springer,$375,$265,351,4025,$1.07, $2.65 ,,40,$9.38,29,$12.93,1996,,17,17,Finance
Economic Systems Research,Carfax,$658,$192,467,,$1.41,,,38,$17.32,23,$28.61,1989,,7,11,Area Studies
Review of Political Economy,Carfax,$394,$94,539,,$0.73,,,38,$10.37,7,$56.29,1989,,40,46,General
Australian Ec History Review,Blackwell,$126,$53,283,,$0.45,,0.333,38,$3.32,8,$15.75,1960,500,17,62,Ec History
Managerial and Decision Econ,Wiley,$905,$265,292,4472,$3.10, $6.93 ,,37,$24.46,0,,1980,950,62,79,Management Science
Journal of Empirical Finance,Elsevier,$355,$50,607,"3,053",$0.58, $1.92 ,,37,$9.59,30,$11.83,1994,,16,17,Finance
Labour  ,Blackwell,$197,$197,901,,$0.22,,,37,$5.32,5,$39.40,1987,,9,9,Labor
Review of International Economics,Blackwell,$313,$50,775,,$0.40,,,36,$8.69,20,$15.65,1992,,32,32,International
Development Policy Review,Blackwell,$242,$45,427,2731,$0.57, $2.08 ,,36,$6.72,11,$22.00,1982,,30,51,Development
Real Estate Economics,MIT,$165 ,$65 ,749,2496,$0.22 , $0.88 ,0.281,35,$4.71,16,$10.31,1973,,125,261,Specialized
Mathematical Finance,Blackwell,$297,$109,412,,$0.72,,,33,$9.00,79,$3.76,1991,,24,27,Finance
Journal of Consumer Policy,Kluwer,$279 ,$125 ,578,2200,$0.48 , $2.19 ,,32,$8.72,7,$39.86 ,1978,,57,96,Consumer Ec
Metroeconomica,Blackwell,$262,$94,386,2501,$0.68, $2.71 ,,30,$8.73,4,$65.50,1949,650,46,98,General
Journal of African Economies,Oxford Univ Press,$230,$78,650,,$0.35,,,30,$7.67,23,$10.00,1992,,19,21,Area Studies
Macroeconomic Dynamics,Cambridge Univ Pres,$170,$85,640,,$0.27,,,29,$5.86,29,$5.86,1996,,37,37,Macroeconomics
Journal of Agricultural and Applied Economics,Southern Ag Econ Assn,$30 ,$15 ,637,,$0.05 ,,,29,$1.03,16,$1.88 ,1969,,38,70,Ag Econ
Defense and Peace economics,Gordon & Breach,$588,$112,400,,$1.47,, ,28,$21.00,10,$58.80,1990,,6,17,Specialized
Economics of Planning,Kluwer,$226,$226,243,3010,$0.93, $3.09 ,0.227,28,$8.07,5,$45.20,1987,800,46,98,Area Studies
Review. of Radical Political Economics,Elsevier,$242,$55,665,2688,$0.36, $1.35 ,,27,$8.96,5,$48.40,1968,2000,202,268,Specialized
Feminist Economics,Routledge,$165,$58,525,,$0.31,,,26,$6.35,12,$13.75,1995,,40,40,Specialized
Russian Economic Trends,Blackwell,$412,$75,500,,$0.82,,,25,$16.48,10,$41.20,1991,,7,7,Area Studies
Labour Economics,Elsevier,$344,$50,609,2967,$0.56, $1.90 ,,24,$14.33,20,$17.20 ,1994,,15,16,Labor
Journal of Socio-Economics,Elsevier,$295 ,$95 ,791,3024,$0.37 , $1.23 ,,24,$12.29,17,$17.35 ,1972,,96,228,Interdisciplinary
Environment and Development economics,Cambridge Univ Pres,$90,$40,602,3185,$0.15, $0.47 ,,24,$3.75,8,$11.25,1995,,14,15,Development
Journal of Information Technology,Routledge,$496,$114,321,,$1.55,, ,23,$21.57,23,$21.57,1986,,10,15,Specialized
Journal of the History of Economic Thought,Carfax,$246,$95,475,,$0.52,,,23,$10.70,13,$18.92 ,1979,,28,31,Ec History
Computational Economics,Kluwer,$443,$220,567,2924,$0.78, $2.67 ,,22,$20.14,18,$24.61,1987,,17,36,Specialized
MOCT-MOST Economic Policy in Transitional Economics,Kluwer,$276,$276,520,3234,$0.53, $1.64 ,,22,$12.55,6,$46.00,1991,,2,2,Area Studies
South African Journal of Economic History,So Afr ec history assn,$20 ,$20 ,309,1782,$0.06, $0.36 ,0.039,22,$0.91,2,$10.00 ,1986,,59,128,Ec History
Journal of Public Policy,Cambridge,$130 ,$65 ,320,,$0.41 ,,,21,$6.19,10,$13.00 ,1981,,97,108,Public Finance
Asian-Pacific Economic Literature,Blackwell,$123,$45,440,3822,$0.28, $0.73 ,,21,$5.86,15,$8.20,1986,,14,14,General
Eastern European Economics,M.E. Sharpe,$838,$119,550,2905,$1.52, $5.24 ,0.998,20,$41.90,5,$167.60,1962,,58,141,Area Studies
Journal of Cultural Economics,Kluwer,$279,$279,394,2967,$0.71, $2.39 ,,20,$13.95,8,$34.88,1976,600,31,47,Specialized
Economic Analysis,Carfax,$276,$74,281,,$0.98,,,20,$13.80,3,$92.00,1998,,1,1,General
Empirica,Kluwer,$267,$267,374,2516,$0.71, $2.84 ,,20,$13.35,8,$33.38,1973,,7,9,General
Journal of Corporate Finance,Elsevier,$232 ,$50 ,384,2967,$0.60 , $2.04 ,,20,$11.60,7,$33.14 ,1995,,2,2,Finance
European Review of Economic History,Cambridge,$107 ,$60 ,373,,$0.29 ,,,20,$5.35,15,$7.13,1996,,24,24,Ec History
Open Economies Review,Kluwer,$302,$145,442,2860,$0.68, $2.39 ,0.172,19,$15.89,9,$33.56,1989,,10,14,Area Studies
Australian J of Agricultural & Resource Ec,Blackwell,$198,$64,458,,$0.43,,0.63,19,$10.42,17,$11.65,1956,,34,79,Ag Econ
Journal of Economic Growth,Kluwer,$362,$65,445,3268,$0.81, $2.49 ,,18,$20.11,9,$40.22,1995,,15,16,Macroeconomics
Natural Resource Modeling,Rocky Mountains Math Consortium,$190 ,$55 ,500,,$0.38,,,18,$10.56,2,$95.00 ,1986,,26,40,Natural Resources
Geneva Papers on Risk and Insurance Theory ,Kluwer,$167,$50,227,3432,$0.74, $2.14 ,0.05,18,$9.28,1,$167.00,1975,,8,14,Insurance
FinanzArchiv,Mohr Siebeck,$150 ,$150 ,600,2730,$0.25 , $0.92 ,,18,$8.33,12,$12.50 ,1999,,10,42,Public Finance
Asian Economic Journal,Blackwell,$125,$28,424,,$0.29,,,18,$6.94,4,$31.25,1987,,1,1,General
Economic Notes,Blackwell,$120,$30,429,,$0.28,,,18,$6.67,5,$24.00,1971,2000,9,9,General
International Journal of the Economics of Business,Carfax,$382,$94,453,3500,$0.84, $2.41 ,,17,$22.47,7,$54.57,1994,,13,15,Business
New Political Economy,Carfax,$254,$60,451,,$0.56,,,17,$14.94,23,$11.04 ,1996,,31,31,Public Finance
International Review of Applied Economics,Carfax,$470,$136,469,3400,$1.00, $2.95 ,,16,$29.38,15,$31.33,1986,,36,44,General
Economic Systems,Springer,$253,$253,380,,$0.67,,,16,$15.81,10,$25.30 ,1977,,2,25,Area Studies
Journal of Economic Methodology,Routledge,$245 ,$75 ,420,,$0.58,,,16,$15.31,6,$40.83,1994,,10,10,General
Review of Austrian Economics,Kluwer,$210,,270,3476,$0.78, $2.24 ,,16,$13.13,0,,1988,,11,41,Specialized
International Trade Journal,Taylor & Francis,$207 ,$125 ,443,,$0.47 ,,,15,$13.80,4,$51.75 ,1987,,58,69,International
Journal of Economic Integration,Sejong University,$80 ,$40 ,664,,$0.12 ,,,15,$5.33,3,$26.67 ,1986,,15,23,Area Studies
Economic Outlook,Blackwell,$658,$658,360,,$1.83,,,14,$47.00,11,$59.82 ,1976,,1,1,Specialized
European Journal of Political Ec.,Elsevier,$431,$65,775,2838,$0.56, $1.96 ,,14,$30.79,1,$431.00,1984,,19,24,General
Applied Mathematical Finance,Routledge,$515 ,$68 ,236,,$2.18 ,,,13,$39.62,4,$128.75 ,1996,,12,12,Finance
Journal of Asian Economics,Elsevier,$269,$95,644,3278,$0.42, $1.27 ,,13,$20.69,0,,1989,,7,8,Area Studies
Pacific economic Review,Blackwell,$184,$40,350,3036,$0.53, $1.73 ,,13,$14.15,8,$23.00,1996,,11,11,General
Japanese Economic Review,Blackwell,$131,$54,506,,$0.26,,,12,$10.92,10,$13.10,1949,,5,12,General
Journal of Economics and Finance,Middle Tennessee State University,$40 ,$25 ,278,,$0.14 ,,,12,$3.33,4,$10.00,1967,,17,25,Finance
Journal of International Trade and Economic Development,Routledge,$396,$240,440,,$0.90,,,11,$36.00,4,$99.00,1992,,11,11,International
European Journal of the History of Economic Thought,Routledge,$325,$62,580,,$0.56,,,11,$29.55,7,$46.43,1994,,7,8,Specialized
International Review of Economics & Finance,Elsevier,$242,$95,485,,$0.50,,,10,$24.20,4,$60.50,1990,,16,40,Finance
Review of Development Economics,Blackwell,$199,,370,,$0.54,,,9,$22.11,6,$33.17,1997,,24,24,Development
Aquaculture Economics and Management,Blackwell,$326 ,$114 ,165,4836,$1.98 , $4.09 ,,8,$40.75,8,$40.75,1997,,11,11,Natural Resources
Economic Analysis and Policy ,EconSoc Queensland,$44 ,$22 ,250,3285,$0.18 , $0.54 ,,8,$5.50,0, ,1971,,3,9,General
Problems of Economic Transition,M.E. Sharpe,$968,$148,960,,$1.01 ,,0.027,7,$138.29,3,$49.33,1958,,65,267,Area Studies
Review of Economic Dynamics,Academic Press,$315,$315,858,2730,$0.37, $1.34 ,,7,$45.00,7,$45.00,1998,,72,72,Macroeconomics
Journal of Applied Economics,Universidad del CEMA,$80 ,$40 ,391,1984,$0.20, $1.03 ,,7,$11.43,3,$26.67,1998,,16,16,General
The Japanese Economy,M.E. Sharpe,$823,$141,350,,$2.35 ,,0,6,$137.17,0,,1996,,25,76,Area Studies
Research in Economics/Richerche Economiche,Academic Press,$435,,420,2468,$1.04, $4.20 ,,6,$72.50,6,$72.50,1946,,9,19,General
European Journal of Law and Economics,Kluwer,$438,$240,537,3182,$0.82, $2.56 ,,5,$87.60,5,$87.60,1994,,8,8,Law and Econ
International Finance,Blackwell,$259,$53,410,,$0.63,,,5,$51.80,5,$82.00,1998, ,27,27,International
"Risk, Decision and Policy",Cambridge Univ Pres,$140,$48,271,,$0.52,,,5,$28.00,2,$70.00,1994,,2,3,Insurance
Russian and East European Finance and Trade,M.E. Sharpe,$838,$119,550,2665,$1.52 , $5.72 ,0.026,4,$209.50,1,$838.00,1997,,45,142,Area Studies
Economic Affairs,Blackwell,$122,$38,240,4472,$0.51, $1.14 ,,4,$30.50,0,,1980,,13,20,Public Finance
Pacific Economic Bulletin,Australian Nat Univ,$30 ,$30 ,360,3314,$0.08 , $0.25 ,,4,$7.50,0,,1985,,2,3,General
The Chinese Economy,M.E. Sharpe,$838,$119,550,,$1.52 ,,,3,$279.33,0, ,1968,,26,113,Area Studies
Journal of Risk Research,E & FN Spon,$310,$68,368,,$0.84,,,3,$103.33,14,$22.14,1998,,6,6,Insurance
International Journal of Theoretical and Applied Finance,World Scientific,$212,$85,471,,$0.45,,,3,$70.67,3,$70.67,1998,,12,12,Finance
Annals of Public and Cooperative Economics,Blackwell,$190 ,$82 ,686,,$0.28,,,3,$63.33,0,,1908,,40,93,Specialized
Asia-Pacific Financial Markets,Kluwer,$281 ,$75 ,398,,$0.71 ,,,2,$140.50,2,$140.50,1994,,4,4,Finance
Constitutional Political Economy,Kluwer,$267,$66,424,3432,$0.63, $1.83 ,,2,$133.50,2,$133.50,1990,,30,35,Public Finance
Journal of Public Economic Theory,Blackwell,$240,$40,528,2767,$0.45, $1.64 ,,2,$120.00,2,$120.00,1999,,19,19,Public Finance
European Finance Review,Kluwer,$231,$80,363,2967,$0.64, $2.14 ,,2,$115.50,6,$38.50,1997,,8,8,Finance
Econometrics Journal,Blackwell,$134,$51,333,2760,$0.40, $1.46 ,,2,$67.00,2,$67.00,1998,,44,49,Econometrics
Scottish Economic and Social History,Edinburgh,$102,$49,200,,$0.51,,,2,$51.00,1,$102.00,1981,,2,2,Ec History
African Development Review,Blackwell,$83 ,$35 ,306,,$0.27,,,2,$41.50,0,,1989,,5,5,Development
Eastern Economic Journal,Eastern Ec Assn,$75,$50,504,,$0.15,,,2,$37.50,0,,1974,1200,108,140,General
Contributions to Political Economy,Oxford Univ Press,$61,$29,150,,$0.41,,,2,$30.50,0, ,1982,,29,35,Public Finance
New Zealand Economic Papers,NZ Assn of economists,$50 ,$50 ,284,3096,$0.18 , $0.57 ,,2,$25.00,0, ,1966,,1,6,General
Agricultural and Resource Economics Review,Cornell Univ Press,$15 ,$15 ,248,,$0.06,,,2,$7.50,2,$7.50,1972,,17,24,Ag Econ
International Transactions in Operations Research,Elsevier,$539,$128,678,,$0.79,,,1,$539.00,3,$179.67,1993,,0,0,Management Science
Pacific Basin Finance Journal,Elsevier,$371 ,$50 ,588,2919,$0.63 , $2.16 ,,1,$371.00,0, ,1993,,9,10,Finance
Review of Economic Design,Springer,$249,$249,393,3285,$0.63, $1.93 ,,1,$249.00,0, ,1996,,17,17,Theory
International Review of Finance,Blackwell,$225,$45,320,,$0.70,,,1,$225.00,1,$225.00,1999,,2,2,Finance
Review of Urban and Regional Development Studies,Blackwell,$150,$61,215,,$0.70,,,1,$150.00,0,,1988,,2,3,Urban and Regional
Education Economics,Carfax,$519,$148,350,,$1.48,,,0,,0,,1993,,4,4,Specialized
Experimental Economics,Kluwer,$231,,259,3344,$0.89, $2.67 ,,0,,0,,1997,,19,19,Specialized
Journal of Bioeconomics,Kluwer,$210,$40,220,3476,$0.95, $2.75 ,,0, ,0,,1999,,8,8,Specialized
International Game Theory Review,World Scientific,$190,$75,315,,$0.60,,,0, ,0, ,1999,,0,0,Theory
Netnomics,Baltzer,$152,$152,235,,$0.65,,,0,,0,,1999,,3,3,Specialized
German Economic Review,Blackwell,$148,$61,440,3105,$0.34, $1.08 ,,0,, , ,2000,,2,100,General
Spanish Economic Review,Springer,$140 ,$55 ,299,3102,$0.47 , $1.51 ,,0,,0, ,1999,,,,General
Studies in Nonlinear Dynamics and Economics,MIT,$135 ,$40 ,254,,$0.53 ,, ,0, ,0, ,1996,,0,0,Macroeconomics
Economics of Governance,Springer,$118,$118,310,,$0.38,,,0, ,0, ,2000,,4,4,Public Finance
Australian Economic Review,Blackwell,$237,$66,422,,$0.56,,,,,10,$23.70,1967,1900,25,36,General
