,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,Julian day,SOD,J[NH4],J[NO3],J[PO4],J[Si],J[Mn],O2(0),NH4(0),NO3(0),PO4(0),Si(0),T,,Treatment,Julian day,Mnd,Mnp,pH,O2(0),Treatment,Julian day,Mnd,Mnp,pH,O2(0)
32X ,447,0.787,30.9,-42.5,-4.9,71.7,2.16,15.37,6633.2,1779.4,1588.8,1,5.6,,,,,,,,,,,,,
32X ,509,0.262,122.4,-33.8,49.9,141.6,19.39,15.38,4327.3,876.6,1309.6,31,15.6,,,,,,,,,,,,,
32X ,553,2.246,-76.5,-8.6,       ,288.9,8.29,7.06,3653.8,1091.1,992.7,158,20.4,,,,,,,,,,,,,
32X ,566,       ,        ,        ,       ,      ,9.23,      ,       ,       ,       ,     ,       ,,,,,,,,,,,,,
32X ,572,4.358,6.9,        ,       ,342.4,6.78,9.02,1614.5,2671.1,1414.5,136,21.1,,,,,,,,,,,,,
32X ,600,0.151,        ,136.6,       ,      ,8.39,5.84,3909.2,710.3,1516.5,467,22.5,,,,,,,,,,,,,
32X ,650,2.342,101.8,-7.2,28.5,201.8,4.37,6.69,4171.5,975.4,1080.5,117,18.0,,,,,,,,,,,,,
32X ,705,1.238,-114.0,70.7,2.4,67.8,2.93,7.12,2365.7,2031.0,734.6,1057,9.4,,,,,,,,,,,,,
32X ,775,0.588,-33.4,-3.5,7.0,27.6,0.84,12.49,2603.6,2334.2,923.5,1115,3.5,,,,,,,,,,,,,
32X ,859,2.570,-93.2,11.3,35.4,119.8,4.37,13.63,1252.5,1548.1,780.4,10,13.0,,,,,,,,,,,,,
32X ,908,3.588,8.2,-194.8,72.0,260.8,12.78,8.44,823.5,1324.6,780.8,15,20.0,,,,,,,,,,,,,
32X ,943,4.934,-61.4,-302.8,69.9,      ,11.77,5.92,1317.6,991.6,1009.9,1346,23.0,,,,,,,,,,,,,
32X ,996,3.458,91.1,-123.8,       ,      ,4.77,4.38,1632.0,1047.9,1080.9,1733,21.2,,,,,,,,,,,,,
32X ,996,3.458,91.1,-123.8,       ,      ,4.77,4.38,1632.0,1047.9,1080.9,1733,21.2,,,,,,,,,,,,,
