Id,WBS,WBS_Title,Responsible_LabCode,WBS_Short,SubProject_Code,Parent,GrandParent
393,1.06.08.03,Moderator Systems,OR,1.6.8.3,TG,1.06.08,1.06
394,1.06.08.04,Reflector Systems,OR,1.6.8.4,TG,1.06.08,1.06
395,1.06.08.05,Vessel Systems,OR,1.6.8.5,TG,1.06.08,1.06
396,1.06.08.06,Shielding Systems,OR,1.6.8.6,TG,1.06.08,1.06
397,1.06.08.07,Target Utility Systems,OR,1.6.8.7,TG,1.06.08,1.06
398,1.06.08.08,Remote Handling System,OR,1.6.8.8,TG,1.06.08,1.06
399,1.06.08.09,Beam Dump Systems,OR,1.6.8.9,TG,1.06.08,1.06
400,1.06.08.10,Cabling,OR,1.6.8.10,TG,1.06.08,1.06
401,1.06.08.11,Personnel Safety Systems,OR,1.6.8.11,TG,1.06.08,1.06
402,1.06.09,Beam Dumps,OR,1.6.9,TG,,1.06
403,1.06.09.01,Linac Beam Dump,OR,1.6.9.1,TG,1.06.09,1.06
404,1.06.09.02,Ring Injection Dump,OR,1.6.9.2,TG,1.06.09,1.06
405,1.06.09.03,Ring Extraction Dump,OR,1.6.9.3,TG,1.06.09,1.06
406,1.06.09.04,Assembly and Testing,OR,1.6.9.4,TG,1.06.09,1.06
407,1.06.10,Technical Support,OR,1.6.10,TG,,1.06
408,1.06.10.01,Management and Physics Support,OR,1.6.10.1,TG,1.06.10,1.06
409,1.06.10.02,Accel/Targt Sta Neut and Shldg Analysis,OR,1.6.10.2,TG,1.06.10,1.06
410,1.06.10.03,Systems Analysis,OR,1.6.10.3,TG,1.06.10,1.06
411,1.06.10.04,Integrated Systems Startup and Testing,OR,1.6.10.4,TG,1.06.10,1.06
699,1.06.11,ORNL Field Coordination,OR,1.6.11,TG,,1.06
412,1.07,Instrument Systems,AN,1.7,IS,,
413,1.07.01,Instrument Support Facilities,AN,1.7.1,IS,,1.07
414,1.07.01.01,Laboratories,AN,1.7.1.1,IS,1.07.01,1.07
415,1.07.01.02,Machine Shops,AN,1.7.1.2,IS,1.07.01,1.07
416,1.07.01.03,Equipment,AN,1.7.1.3,IS,1.07.01,1.07
417,1.07.02,Technical Support,AN,1.7.2,IS,,1.07
418,1.07.02.01,Management Support,AN,1.7.2.1,IS,1.07.02,1.07
817,1.07.02.02,Integrated Systems Testing,AN,1.7.2.2,IS,1.07.02,1.07
705,1.07.03,Shared Design/Construction,AN,1.7.3,IS,,1.07
901,1.07.03.01,Other SNS Project Interface,AN,1.7.3.1,IS,1.07.03,1.07
818,1.07.03.02,Data Acquisition,AN,1.7.3.2,IS,1.07.03,1.07
819,1.07.03.03,Detectors,AN,1.7.3.3,IS,1.07.03,1.07
820,1.07.03.04,Choppers,AN,1.7.3.4,IS,1.07.03,1.07
902,1.07.03.05,Sample Environment,AN,1.7.3.5,IS,1.07.03,1.07
821,1.07.03.06,Optical Elements,AN,1.7.3.6,IS,1.07.03,1.07
822,1.07.03.07,Shielding,AN,1.7.3.7,IS,1.07.03,1.07
420,1.07.04,High Resolution Backscattering Spectrometer,AN,1.7.4,IS,,1.07
903,1.07.04.01,System Integration - High Resolution Backscattering Spectrometer,AN,1.7.4.1,IS,1.07.04,1.07
904,1.07.04.02,Data Acquisition - High Resolution Backscattering Spectrometer,AN,1.7.4.2,IS,1.07.04,1.07
905,1.07.04.03,Detectors - High Resolution Backscattering Spectrometer,AN,1.7.4.3,IS,1.07.04,1.07
823,1.07.04.04,Choppers - High Resolution Backscattering Spectrometer,AN,1.7.4.4,IS,1.07.04,1.07
906,1.07.04.05,Sample Environment - High Resolution Backscattering Spectrometer,AN,1.7.4.5,IS,1.07.04,1.07
907,1.07.04.06,Optical Elements - High Resolution Backscattering Spectrometer,AN,1.7.4.6,IS,1.07.04,1.07
824,1.07.04.07,Shielding - High Resolution Backscattering Spectrometer,AN,1.7.4.7,IS,1.07.04,1.07
908,1.07.04.08,Instrument Specific - High Resolution Backscattering Spectrometer,AN,1.7.4.8,IS,1.07.04,1.07
429,1.07.05,Magnetism Reflectometer,AN,1.7.5,IS,,1.07
909,1.07.05.01,System Integration - Magnetism Reflectometer,AN,1.7.5.1,IS,1.07.05,1.07
910,1.07.05.02,Data Acquisition - Magnetism Reflectometer,AN,1.7.5.2,IS,1.07.05,1.07
911,1.07.05.03,Detectors - Magnetism Reflectometer,AN,1.7.5.3,IS,1.07.05,1.07
825,1.07.05.04,Choppers - Magnetism Reflectometer,AN,1.7.5.4,IS,1.07.05,1.07
912,1.07.05.05,Sample Environment - Magnetism Reflectometer,AN,1.7.5.5,IS,1.07.05,1.07
913,1.07.05.06,Optical Elements - Magnetism Reflectometer,AN,1.7.5.6,IS,1.07.05,1.07
826,1.07.05.07,Shielding - Magnetism Reflectometer,AN,1.7.5.7,IS,1.07.05,1.07
914,1.07.05.08,Instrument Specific - Magnetism Reflectometer,AN,1.7.5.8,IS,1.07.05,1.07
438,1.07.06,Liquids Reflectometer,AN,1.7.6,IS,,1.07
915,1.07.06.01,System Integration - Liquids Reflectometer,AN,1.7.6.1,IS,1.07.06,1.07
916,1.07.06.02,Data Acquisition - Liquids Reflectometer,AN,1.7.6.2,IS,1.07.06,1.07
917,1.07.06.03,Detectors - Liquids Reflectometer,AN,1.7.6.3,IS,1.07.06,1.07
827,1.07.06.04,Choppers - Liquids Reflectometer,AN,1.7.6.4,IS,1.07.06,1.07
918,1.07.06.05,Sample Environment - Liquids Reflectometer,AN,1.7.6.5,IS,1.07.06,1.07
919,1.07.06.06,Optical Elements - Liquids Reflectometer,AN,1.7.6.6,IS,1.07.06,1.07
828,1.07.06.07,Shielding - Liquids Reflectometer,AN,1.7.6.7,IS,1.07.06,1.07
920,1.07.06.08,Instrument Specific - Liquids Reflectometer,AN,1.7.6.8,IS,1.07.06,1.07
447,1.07.07,Instrument #4 Set #2,AN,1.7.7,IS,,1.07
921,1.07.07.01,System Integration - Instrument #4,AN,1.7.7.1,IS,1.07.07,1.07
922,1.07.07.02,Data Acquisition - Instrument #4,AN,1.7.7.2,IS,1.07.07,1.07
923,1.07.07.03,Detectors - Instrument #4,AN,1.7.7.3,IS,1.07.07,1.07
829,1.07.07.04,IS-POW7 Choppers,AN,1.7.7.4,IS,1.07.07,1.07
924,1.07.07.05,Sample Environment - Instrument #4,AN,1.7.7.5,IS,1.07.07,1.07
925,1.07.07.06,Optical Elements - Instrument #4,AN,1.7.7.6,IS,1.07.07,1.07
830,1.07.07.07,IS-POW7 Shielding,AN,1.7.7.7,IS,1.07.07,1.07
926,1.07.07.08,Instrument Specific - Instrument #4,AN,1.7.7.8,IS,1.07.07,1.07
456,1.07.08,Instrument #5 Set #2,AN,1.7.8,IS,,1.07
927,1.07.08.01,System Integration - Instrument #5,AN,1.7.8.1,IS,1.07.08,1.07
928,1.07.08.02,Data Acquisition - Instrument #5,AN,1.7.8.2,IS,1.07.08,1.07
929,1.07.08.03,Detectors - Instrument #5,AN,1.7.8.3,IS,1.07.08,1.07
831,1.07.08.04,IS-INEL4 Choppers,AN,1.7.8.4,IS,1.07.08,1.07
930,1.07.08.05,Sample Environment - Instrument #5,AN,1.7.8.5,IS,1.07.08,1.07
931,1.07.08.06,Optical Elements - Instrument #5,AN,1.7.8.6,IS,1.07.08,1.07
832,1.07.08.07,IS-INEL4 Shielding,AN,1.7.8.7,IS,1.07.08,1.07
932,1.07.08.08,Instrument Specific - Instrument #5,AN,1.7.8.8,IS,1.07.08,1.07
933,1.07.08.13,Instrument Specific - Instrument #,AN,1.7.8.13,IS,1.07.08,1.07
934,1.07.08.14,Instrument Specific - Instrument #,AN,1.7.8.14,IS,1.07.08,1.07
465,1.07.09,Instrument #6 Set #2,AN,1.7.9,IS,,1.07
935,1.07.09.01,System Integration - Instrument #6,AN,1.7.9.1,IS,1.07.09,1.07
936,1.07.09.02,Data Acquisition - Instrument #6,AN,1.7.9.2,IS,1.07.09,1.07
937,1.07.09.03,Detectors - Instrument #6,AN,1.7.9.3,IS,1.07.09,1.07
833,1.07.09.04,IS-INEL1 Choppers,AN,1.7.9.4,IS,1.07.09,1.07
938,1.07.09.05,Sample Environment - Instrument #6,AN,1.7.9.5,IS,1.07.09,1.07
939,1.07.09.06,Optical Elements - Instrument #6,AN,1.7.9.6,IS,1.07.09,1.07
834,1.07.09.07,IS-INEL1 Shielding,AN,1.7.9.7,IS,1.07.09,1.07
940,1.07.09.08,Instrument Specific - Instrument #6,AN,1.7.9.8,IS,1.07.09,1.07
474,1.07.10,Instrument #7 Set #3,AN,1.7.10,IS,,1.07
941,1.07.10.01,System Integration - Instrument #7,AN,1.7.10.1,IS,1.07.10,1.07
806,1.07.10.02,Instrument #7 Set #3,AN,1.7.10.2,IS,1.07.10,1.07
942,1.07.10.03,Detectors - Instrument #7,AN,1.7.10.3,IS,1.07.10,1.07
807,1.07.10.04,IS-SANS2 Choppers,AN,1.7.10.4,IS,1.07.10,1.07
943,1.07.10.05,Sample Environment - Instrument #7,AN,1.7.10.5,IS,1.07.10,1.07
944,1.07.10.06,Optical Elements - Instrument #7,AN,1.7.10.6,IS,1.07.10,1.07
808,1.07.10.07,IS-SANS2 Shielding,AN,1.7.10.7,IS,1.07.10,1.07
945,1.07.10.08,Instrument Specific - Instrument #7,AN,1.7.10.8,IS,1.07.10,1.07
483,1.07.11,Instrument #8 Set #3,AN,1.7.11,IS,,1.07
946,1.07.11.01,System Integration - Instrument #8,AN,1.7.11.1,IS,1.07.11,1.07
947,1.07.11.02,Data Acquisition - Instrument #8,AN,1.7.11.2,IS,1.07.11,1.07
948,1.07.11.03,Detectors - Instrument #8,AN,1.7.11.3,IS,1.07.11,1.07
809,1.07.11.04,IS-REF1 Choppers,AN,1.7.11.4,IS,1.07.11,1.07
949,1.07.11.05,Sample Environment - Instrument #8,AN,1.7.11.5,IS,1.07.11,1.07
950,1.07.11.06,Optical Elements - Instrument #8,AN,1.7.11.6,IS,1.07.11,1.07
810,1.07.11.07,IS-REF1 Shielding,AN,1.7.11.7,IS,1.07.11,1.07
951,1.07.11.08,Instrument Specific - Instrument #6,AN,1.7.11.8,IS,1.07.11,1.07
492,1.07.12,Instrument #9 Set #4,AN,1.7.12,IS,,1.07
952,1.07.12.01,System Integration - Instrument #9,AN,1.7.12.1,IS,1.07.12,1.07
953,1.07.12.02,Data Acquisition - Instrument #9,AN,1.7.12.2,IS,1.07.12,1.07
954,1.07.12.03,Detectors - Instrument #9,AN,1.7.12.3,IS,1.07.12,1.07
813,1.07.12.04,IS-POW6 Choppers,AN,1.7.12.4,IS,1.07.12,1.07
955,1.07.12.05,Sample Environment - Instrument #9,AN,1.7.12.5,IS,1.07.12,1.07
956,1.07.12.06,Optical Elements - Instrument #9,AN,1.7.12.6,IS,1.07.12,1.07
814,1.07.12.07,IS-POW6 Shielding,AN,1.7.12.7,IS,1.07.12,1.07
957,1.07.12.08,Instrument Specific - Instrument #9,AN,1.7.12.8,IS,1.07.12,1.07
501,1.07.13,Instrument #10 Set #4,AN,1.7.13,IS,,1.07
815,1.07.13.04,IS-INEL5 Chopper,AN,1.7.13.4,IS,1.07.13,1.07
816,1.07.13.07,IS-INEL5 Shielding,AN,1.7.13.7,IS,1.07.13,1.07
689,1.07.14,TBD - Future Instruments,AN,1.7.14,IS,,1.07
690,1.07.15,TBD - Future Instruments,AN,1.7.15,IS,,1.07
691,1.07.16,TBD - Future Instruments,AN,1.7.16,IS,,1.07
510,1.08,Conventional Facilities,CM,1.8,CF,,
511,1.08.01,Technical Support,CM,1.8.1,CF,,1.08
512,1.08.01.01,AE Coordination (ORNL),CM,1.8.1.1,CF,1.08.01,1.08
513,1.08.01.02,ORNL Project Management,CM,1.8.1.2,CF,1.08.01,1.08
514,1.08.01.03,AE/CM Project Management,CM,1.8.1.3,CF,1.08.01,1.08
515,1.08.01.04,Construction Management,CM,1.8.1.4,CF,1.08.01,1.08
516,1.08.02,Land Improvements and Constr Support,CM,1.8.2,CF,,1.08
517,1.08.02.01,"Roadwork, walks, plazas, paved areas",CM,1.8.2.1,CF,1.08.02,1.08
518,1.08.02.02,Site Characterization,CM,1.8.2.2,CF,1.08.02,1.08
519,1.08.02.03,Site Work,CM,1.8.2.3,CF,1.08.02,1.08
520,1.08.02.04,Stormwater Management,CM,1.8.2.4,CF,1.08.02,1.08
521,1.08.02.05,Groundwater Interceptor Sys,CM,1.8.2.5,CF,1.08.02,1.08
522,1.08.02.06,Retaining Walls,CM,1.8.2.6,CF,1.08.02,1.08
523,1.08.02.07,Landscaping,CM,1.8.2.7,CF,1.08.02,1.08
524,1.08.02.08,Fencing,CM,1.8.2.8,CF,1.08.02,1.08
525,1.08.02.09,Security Inspector Post,CM,1.8.2.9,CF,1.08.02,1.08
526,1.08.02.10,Borrow areas,CM,1.8.2.10,CF,1.08.02,1.08
527,1.08.02.11,Excavation Disposal Areas,CM,1.8.2.11,CF,1.08.02,1.08
528,1.08.02.12,Construction Support,CM,1.8.2.12,CF,1.08.02,1.08
529,1.08.03,Buildings,CM,1.8.3,CF,,1.08
530,1.08.03.01,Front End Buildings,CM,1.8.3.1,CF,1.08.03,1.08
531,1.08.03.02,Linac Tunnel,CM,1.8.3.2,CF,1.08.03,1.08
532,1.08.03.03,Klystron Hall and HEBT Service Building,CM,1.8.3.3,CF,1.08.03,1.08
533,1.08.03.04,HEBT Tunnel,CM,1.8.3.4,CF,1.08.03,1.08
534,1.08.03.05,Storage Ring Tunnel,CM,1.8.3.5,CF,1.08.03,1.08
535,1.08.03.06,RTBT Tunnel,CM,1.8.3.6,CF,1.08.03,1.08
536,1.08.03.07,Target Building and Experiment Hall,CM,1.8.3.7,CF,1.08.03,1.08
537,1.08.03.08,Ring Service Building,CM,1.8.3.8,CF,1.08.03,1.08
538,1.08.03.09,RTBT Service Building,CM,1.8.3.9,CF,1.08.03,1.08
539,1.08.03.10,Dump Buildings,CM,1.8.3.10,CF,1.08.03,1.08
540,1.08.03.11,Utility Buildings,CM,1.8.3.11,CF,1.08.03,1.08
541,1.08.03.12,Technical Service Buildings,CM,1.8.3.12,CF,1.08.03,1.08
542,1.08.03.13,Central Control Building,CM,1.8.3.13,CF,1.08.03,1.08
543,1.08.03.14,Central Lab & Office Building,CM,1.8.3.14,CF,1.08.03,1.08
544,1.08.03.15,Site Buildings and Structures,CM,1.8.3.15,CF,1.08.03,1.08
787,1.08.03.16,Central Helium Liquifier Building,CM,1.8.3.16,CF,1.08.03,1.08
788,1.08.03.17,Superconducting Radio Frequency Building,CM,1.8.3.17,CF,1.08.03,1.08
545,1.08.04,Utility Systems,CM,1.8.4,CF,,1.08
546,1.08.04.01,Electrical Site Services,CM,1.8.4.1,CF,1.08.04,1.08
547,1.08.04.02,HVAC Site Services,CM,1.8.4.2,CF,1.08.04,1.08
548,1.08.04.03,Mechanical/Piping Utility Systems,CM,1.8.4.3,CF,1.08.04,1.08
549,1.08.04.04,Waste Systems,CM,1.8.4.4,CF,1.08.04,1.08
550,1.08.04.05,Maintenance and General Purpose Equipment,CM,1.8.4.5,CF,1.08.04,1.08
551,1.08.04.06,Fire Protection,CM,1.8.4.6,CF,1.08.04,1.08
552,1.08.05,Conventional Facilites Local Controls,CM,1.8.5,CF,,1.08
553,1.08.05.01,Conventional Facilites Local Controls,CM,1.8.5.1,CF,1.08.05,1.08
554,1.08.05.02,Electrical Power and Communications Svcs,CM,1.8.5.2,CF,1.08.05,1.08
555,1.08.05.03,HVAC Services,CM,1.8.5.3,CF,1.08.05,1.08
556,1.08.05.04,Mechanical & Piping Services,CM,1.8.5.4,CF,1.08.05,1.08
557,1.08.05.05,Waste Systems,CM,1.8.5.5,CF,1.08.05,1.08
558,1.08.05.06,Predictive Maintenance System,CM,1.8.5.6,CF,1.08.05,1.08
559,1.08.05.07,Plant Security System,CM,1.8.5.7,CF,1.08.05,1.08
560,1.08.06,Safety and Computing Systems,CM,1.8.6,CF,,1.08
561,1.08.06.01,Personal Protection System,CM,1.8.6.1,CF,1.08.06,1.08
562,1.08.06.02,Business Computing Systems,CM,1.8.6.2,CF,1.08.06,1.08
563,1.08.06.03,Emergency Response Facilities Systems,CM,1.8.6.3,CF,1.08.06,1.08
564,1.09,Integrated Control Systems,OR,1.9,CO,,
565,1.09.01,ICS Integration,LA,1.9.1,CO,,1.09
566,1.09.01.01,Project Management,LA,1.9.1.1,CO,1.09.01,1.09
789,1.09.01.02,Cable Coordination,LA,1.9.1.2,CO,1.09.01,1.09
568,1.09.02,Global Systems,LA,1.9.2,CO,,1.09
569,1.09.02.01,ICS Network,LA,1.9.2.1,CO,1.09.02,1.09
570,1.09.02.02,Timing System,LA,1.9.2.2,CO,1.09.02,1.09
571,1.09.02.03,Equipment Protection Systems,LA,1.9.2.3,CO,1.09.02,1.09
572,1.09.02.04,"Computing Equipment (C.R. Servers,etc.)",LA,1.9.2.4,CO,1.09.02,1.09
573,1.09.02.05,Software (System & Application),LA,1.9.2.5,CO,1.09.02,1.09
574,1.09.02.06,Software Development System,LA,1.9.2.6,CO,1.09.02,1.09
577,1.09.03,Front End Systems,LB,1.9.3,CO,,1.09
578,1.09.03.01,Front End Control System Integration,LB,1.9.3.1,CO,1.09.03,1.09
579,1.09.03.02,Ion Source Controls,LB,1.9.3.2,CO,1.09.03,1.09
580,1.09.03.03,LEBT Controls,LB,1.9.3.3,CO,1.09.03,1.09
581,1.09.03.04,RFQ Controls,LB,1.9.3.4,CO,1.09.03,1.09
582,1.09.03.05,MEBT Controls,LB,1.9.3.5,CO,1.09.03,1.09
583,1.09.03.06,Cooling and Vacuum Controls,LB,1.9.3.6,CO,1.09.03,1.09
584,1.09.04,Linac Control Systems,LA,1.9.4,CO,,1.09
585,1.09.04.01,Linac Control Systems Integration,LA,1.9.4.1,CO,1.09.04,1.09
586,1.09.04.02,DTL Control Systems,LA,1.9.4.2,CO,1.09.04,1.09
587,1.09.04.03,CCDTL Control Systems,LA,1.9.4.3,CO,1.09.04,1.09
588,1.09.04.04,CCL Control Systems,LA,1.9.4.4,CO,1.09.04,1.09
589,1.09.04.05,Other Systems,LA,1.9.4.5,CO,1.09.04,1.09
592,1.09.04.06,RF Power,LA,1.9.4.6,CO,1.09.04,1.09
704,1.09.04.07,Standard System Design,LA,1.9.4.7,CO,1.09.04,1.09
802,1.09.04.09,"Recurring Design for Cold Linac Vacuum, Cooling and Power Supply Subsystems",OR,1.9.4.9,CO,1.09.04,1.09
803,1.09.04.11,Controls Systems for the Cold Linac RF Subsystem,OR,1.9.4.11,CO,1.09.04,1.09
593,1.09.05,Ring Controls,BN,1.9.5,CO,,1.09
594,1.09.05.01,Ring ICS Integration Activities,BN,1.9.5.1,CO,1.09.05,1.09
595,1.09.05.02,Power Supply Controls,BN,1.9.5.2,CO,1.09.05,1.09
596,1.09.05.03,Diagnostics,BN,1.9.5.3,CO,1.09.05,1.09
597,1.09.05.04,Vacuum Controls,BN,1.9.5.4,CO,1.09.05,1.09
598,1.09.05.05,Application Programming,BN,1.9.5.5,CO,1.09.05,1.09
962,1.09.05.06,RF Controls,BN,1.9.5.6,CO,1.09.05,1.09
599,1.09.06,Target Global Controls,OR,1.9.6,CO,,1.09
600,1.09.06.01,Target Controls Integration,OR,1.9.6.1,CO,1.09.06,1.09
601,1.09.06.02,Target Systems Controls,OR,1.9.6.2,CO,1.09.06,1.09
602,1.09.06.03,Target Utilities Controls,OR,1.9.6.3,CO,1.09.06,1.09
603,1.09.06.04,Reflector Systems,OR,1.9.6.4,CO,1.09.06,1.09
604,1.09.06.05,Vessel Systems,OR,1.9.6.5,CO,1.09.06,1.09
605,1.09.06.06,Shielding Systems,OR,1.9.6.6,CO,1.09.06,1.09
606,1.09.06.07,Target Utilty Systems,OR,1.9.6.7,CO,1.09.06,1.09
607,1.09.06.08,Remote Handling System Interface,OR,1.9.6.8,CO,1.09.06,1.09
608,1.09.06.09,Beam Dump Systems,OR,1.9.6.9,CO,1.09.06,1.09
609,1.09.07,Control Systems,AN,1.9.7,CO,,1.09
610,1.09.07.01,Instrument Support Facilities Controls,AN,1.9.7.1,CO,1.09.07,1.09
611,1.09.07.02,System Integration,AN,1.9.7.2,CO,1.09.07,1.09
612,1.09.07.03,POW3 Controls,AN,1.9.7.3,CO,1.09.07,1.09
613,1.09.07.04,INEL2 Controls,AN,1.9.7.4,CO,1.09.07,1.09
614,1.09.07.05,SCD1 Controls,AN,1.9.7.5,CO,1.09.07,1.09
615,1.09.07.06,POW7 Controls,AN,1.9.7.6,CO,1.09.07,1.09
616,1.09.07.07,INEL4 Controls,AN,1.9.7.7,CO,1.09.07,1.09
617,1.09.07.08,INEL1 Controls,AN,1.9.7.8,CO,1.09.07,1.09
618,1.09.07.09,SANS2 Cotrols,AN,1.9.7.9,CO,1.09.07,1.09
619,1.09.07.10,REF1 Controls,AN,1.9.7.10,CO,1.09.07,1.09
620,1.09.07.11,POW6 Controls,AN,1.9.7.11,CO,1.09.07,1.09
621,1.09.07.12,INEL5 Controls,AN,1.9.7.12,CO,1.09.07,1.09
622,1.09.08,Conventional Facilities ICS Interface,CM,1.9.8,CO,,1.09
623,1.09.08.01,Integration Activities,CM,1.9.8.1,CO,1.09.08,1.09
624,1.09.08.02,Systems and Equipment,CM,1.9.8.2,CO,1.09.08,1.09
625,1.09.08.03,HVAC System Interface,CM,1.9.8.3,CO,1.09.08,1.09
626,1.09.08.04,Mechanical & Piping Systems Interface,CM,1.9.8.4,CO,1.09.08,1.09
627,1.09.08.05,Waste Processing Systems Interface,CM,1.9.8.5,CO,1.09.08,1.09
629,1.09.08.06,ORNL Emergency Response Facility Interface,CM,1.9.8.6,CO,1.09.08,1.09
659,1.09.09,Personnel Protection,OR,1.9.9,CO,,1.09
660,1.09.09.01,Accelerator Personnel Protection,OR,1.9.9.1,CO,1.09.09,1.09
661,1.09.09.02,Target Facility Personnel Protection,OR,1.9.9.2,CO,1.09.09,1.09
662,1.09.09.03,Health Physics Instruments and Stack Mont.,OR,1.9.9.3,CO,1.09.09,1.09
798,1.09.09.04,ODH Alarm System,OR,1.9.9.4,CO,1.09.09,1.09
715,1.09.10,CHL & Cryomodule Supervisory Controls,OR,1.9.10,CO,,1.09
799,1.09.10.01,Integration Activities,OR,1.9.10.1,CO,1.09.10,1.09
800,1.09.10.02,CHL Controls,OR,1.9.10.2,CO,1.09.10,1.09
801,1.09.10.03,Cryomodule Controls,OR,1.9.10.3,CO,1.09.10,1.09
633,1.10,Pre-Operations,OR,1.10,OP,,
634,1.10.01,Administration,OR,1.10.1,OP,,1.10
635,1.10.01.01,Directorate,OR,1.10.1.1,OP,1.10.01,1.10
636,1.10.02,Accelerator Division,OR,1.10.2,OP,,1.10
637,1.10.02.01,Accelerator Division Management,OR,1.10.2.1,OP,1.10.02,1.10
667,1.10.02.02,Operations Section,OR,1.10.2.2,OP,1.10.02,1.10
668,1.10.02.03,Accelerator Physics Section,OR,1.10.2.3,OP,1.10.02,1.10
669,1.10.02.04,Accelerator Technology Section,OR,1.10.2.4,OP,1.10.02,1.10
670,1.10.02.05,Controls Section,OR,1.10.2.5,OP,1.10.02,1.10
677,1.10.02.06,Accelerator Systems Operations Support,OR,1.10.2.6,OP,1.10.02,1.10
638,1.10.03,Site Operations Division,OR,1.10.3,OP,,1.10
639,1.10.03.01,Site Operations Management,OR,1.10.3.1,OP,1.10.03,1.10
671,1.10.03.02,Facilities Operation,OR,1.10.3.2,OP,1.10.03,1.10
672,1.10.03.03,ES&H Operations,OR,1.10.3.3,OP,1.10.03,1.10
678,1.10.03.04,"Business, Finance",OR,1.10.3.4,OP,1.10.03,1.10
679,1.10.03.05,Procurement,OR,1.10.3.5,OP,1.10.03,1.10
680,1.10.03.06,Human Resources,OR,1.10.3.6,OP,1.10.03,1.10
681,1.10.03.07,Information Management,OR,1.10.3.7,OP,1.10.03,1.10
682,1.10.03.08,Configuration Management,OR,1.10.3.8,OP,1.10.03,1.10
683,1.10.03.09,Quality Assurance,OR,1.10.3.9,OP,1.10.03,1.10
640,1.10.04,Experimental Facilities Division,OR,1.10.4,OP,,1.10
641,1.10.04.01,Experimental Facilities Management,OR,1.10.4.1,OP,1.10.04,1.10
673,1.10.04.02,Instrument Systems Section,OR,1.10.4.2,OP,1.10.04,1.10
674,1.10.04.03,Target Systems Section,OR,1.10.4.3,OP,1.10.04,1.10
675,1.10.04.04,User Coordination,OR,1.10.4.4,OP,1.10.04,1.10
676,1.10.04.05,Experimental Facilities Operations,OR,1.10.4.5,OP,1.10.04,1.10
684,1.10.04.06,Experimental Facilities Personnel Protection,OR,1.10.4.6,OP,1.10.04,1.10
642,1.10.05,Utilities,OR,1.10.5,OP,,1.10
643,1.10.05.01,Electrical Power,OR,1.10.5.1,OP,1.10.05,1.10
644,1.10.05.02,Water,OR,1.10.5.2,OP,1.10.05,1.10
645,1.10.05.03,Natural Gas,OR,1.10.5.3,OP,1.10.05,1.10
685,1.10.05.04,Waste Disposal,OR,1.10.5.4,OP,1.10.05,1.10
686,1.10.05.05,"Other Utilities, consumables",OR,1.10.5.5,OP,1.10.05,1.10
687,1.10.06,Inventory,OR,1.10.6,OP,,1.10
