Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Arts & Humanities,Visual Arts,Mongrain,Jeffrey,ART,HUNTER COLLEGE,ASSCP,"$3,654.00",Contemplations on the Spiritual: Site projects proposal for a traveling exhibition in Scotland and Italy
Arts & Humanities,Visual Arts,Navin,Richard,ART,BROOKLYN COLLEGE,PROF,"$3,654.00",Part Two:Towards the New Design Profiling the Bauhaus Foundation's investment in Craftsmanship for a Generative Model in the Digital Age
Arts & Humanities,Visual Arts,Priestly,Debra,ART,QUEENS COLLEGE,ASSTP,"$4,294.00",Lookin Glass Installation Project
Arts & Humanities,Visual Arts,Snider,Jenny,ART,QUEENS COLLEGE,ASSCP,"$3,654.00",How to Draw: Make Movies and Dance An Artists' Book
Arts & Humanities,Visual Arts,Towery,Terry,ART,LEHMAN COLLEGE,ASSTP,"$4,548.00",Photographic Possibilities with the Polaroid 20X24
Arts & Humanities,Visual Arts,Weintraub,Annette,ART,CITY COLLEGE,PROF,"$4,078.00",SETS: Significant Objects
Arts & Humanities,Visual Arts,Wilde,Judith,ART,KINGSBOROUGH C. C.,ASSCP,"$3,918.00",Piety and Irreverence
Arts & Humanities,Visual Arts,Wortzel,Adrianne,GRAPHIC ARTS / ADVERTISING,NYC TECHNICAL COLLEGE,ASSCP,"$4,578.00",Pangaea-Pangaea
Life & Earth Sciences,Biochemistry & Molecular Biology,Banerjee,Probal,CHEMISTRY,COLLEGE OF STATEN ISLAND,ASSCP,"$3,077.00",Characterization of  the Promoter of the Aminophospholipidtranslocase gene
Life & Earth Sciences,Biochemistry & Molecular Biology,Bittman,Robert,CHEMISTRY,QUEENS COLLEGE,DISTP,"$3,923.00",Identification of Antitumor Ether Lipid Signaling Targets By Photoaffinity Labeling.
Life & Earth Sciences,Biochemistry & Molecular Biology,Calhoun,David,CHEMISTRY,CITY COLLEGE,PROF,"$3,923.00",Urease of Potential Gastric Pathogen.
Life & Earth Sciences,Biochemistry & Molecular Biology,Davenport,Lesley,CHEMISTRY,BROOKLYN COLLEGE,PROF,"$3,923.00",Conformational Studies of Bovine Plasma Amine Oxidase.
Life & Earth Sciences,Biochemistry & Molecular Biology,Diem,Max,CHEMISTRY,HUNTER COLLEGE,PROF,"$4,076.00","Monitoring Cell Growth, Cell Division and Cell Death via Infrared microspectroscopy"
Life & Earth Sciences,Biochemistry & Molecular Biology,Figueiredo,Maria,BIOLOGICAL SCIENCE,HUNTER COLLEGE,ASSCP,"$6,158.00",The ubiquitin/proteasome pathway & alpha synuclein in Parkinson's Disease
Life & Earth Sciences,Biochemistry & Molecular Biology,Forest,Charlene,BIOLOGY,BROOKLYN COLLEGE,ASSCP,"$3,897.00",Isolation of a gamete fusion gene in Chlamydomonas using genomic complementation and insertional mutagenesis
Life & Earth Sciences,Biochemistry & Molecular Biology,Foster,David,BIOLOGICAL SCIENCE,HUNTER COLLEGE,PROF,"$3,477.00",Cell Cycle Regulation by Protein Kinase C
Life & Earth Sciences,Biochemistry & Molecular Biology,Godde,James,BIOLOGY,BROOKLYN COLLEGE,ASSTP,"$5,558.00",Porphyrin Derivatives: Finding Drug Candidates with Strong and Selective Binding to Quadruplex DNA
Life & Earth Sciences,Biochemistry & Molecular Biology,Goss,Dixie,CHEMISTRY,HUNTER COLLEGE,PROF,"$4,076.00",Effects of phosphorylation of protein synthesis initiation factor eIF4B on function
Life & Earth Sciences,Biochemistry & Molecular Biology,Gottlieb,Paul,MEDICAL SCHOOL,CITY COLLEGE,ASSTP,"$5,512.00",Epstein-Barr Virus(EBV) Nuclear Antigen-1 and its Role in the Etiology of Systemic Lupus Erythematosus (SLE).
Life & Earth Sciences,Biochemistry & Molecular Biology,He,Qi,BIOLOGY,BROOKLYN COLLEGE,ASSTP,"$4,080.00",Characterization of miscue Gene in the Developing Visual system of Drosophila
Life & Earth Sciences,Biochemistry & Molecular Biology,Henderson,Ann,BIOLOGICAL SCIENCE,HUNTER COLLEGE,PROF,"$3,923.00",DNA Exchange Among the Human Ribosomal RNA Genes; Defining Mechanisms.
Life & Earth Sciences,Biochemistry & Molecular Biology,Hsin,Wang,CHEMISTRY,COLLEGE OF STATEN ISLAND,OTHER,"$3,077.00",N-Acetyl  mono and Di-peptides as Calibration and Test samples for protein NMR Spectroscopy
Life & Earth Sciences,Biochemistry & Molecular Biology,Huang,Zhen,CHEMISTRY,BROOKLYN COLLEGE,PROF,"$5,558.00",Direct DNA Detection and Quantitation via Chemiluminescence
Life & Earth Sciences,Biochemistry & Molecular Biology,Linder,Regina,HEALTH SCIENCE,HUNTER COLLEGE,PROF,"$3,376.00",Characterization of cooperative cytotoxins in recently described Coryneform bacteria
Life & Earth Sciences,Biochemistry & Molecular Biology,Michels,Corinne,BIOLOGY,QUEENS COLLEGE,PROF,"$4,076.00",Hsp90 Molecular Chaperone Mediated Induction of the Saccharomyces MAL-Activator
Life & Earth Sciences,Biochemistry & Molecular Biology,Naider,Fred,CHEMISTRY,COLLEGE OF STATEN ISLAND,DISTP,"$4,076.00",Structural Analysis of Peptide transport Systems of fungi
Life & Earth Sciences,Biochemistry & Molecular Biology,Rockwell,Patricia,BIOLOGY,HUNTER COLLEGE,ASSCP,"$6,158.00",Stress inducible pathways and neurodegeneration in Alzheimers disease
Life & Earth Sciences,Biochemistry & Molecular Biology,Rotenberg,Susan,CHEMISTRY & BIOCHEMISTRY,QUEENS COLLEGE,ASSCP,"$3,376.00",The Role of Protein Kinase   in Metastatic Melanoma
Life & Earth Sciences,Biochemistry & Molecular Biology,Schmidt-Glenewinkel,Thomas,BIOLOGICAL SCIENCE,HUNTER COLLEGE,ASSCP,"$4,076.00",Characterization of Genes Encoding Putative Neuronal Subunits of the Nicotinic Acetylocholine Receptors from Drosophila
Life & Earth Sciences,Biochemistry & Molecular Biology,Stark,Ruth,CHEMISTRY,COLLEGE OF STATEN ISLAND,PROF,"$3,923.00",NMR Relaxation Studies of Protein Disorder and Flexibility: Understanding Ligand Recognition in Fatty Acid Binding Proteins.
Life & Earth Sciences,Biochemistry & Molecular Biology,Steinberg,Mark,CHEMISTRY,CITY COLLEGE,PROF,"$3,077.00",Analysis of cell cycle related gene expression in SV40 transformed human keratinocytes using cDNA chip arrays
Life & Earth Sciences,Biochemistry & Molecular Biology,Tasayco,Maria-Luisa,CHEMISTRY,CITY COLLEGE,ASSCP,"$4,076.00",Finding Folding Initiation Sites of a New Kinase
Life & Earth Sciences,Biochemistry & Molecular Biology,Tropp,Burton,CHEMISTRY & BIOCHEMISTRY,QUEENS COLLEGE,PROF,"$3,077.00",Cardiolipin metabolism in Escherichia coli
Life & Earth Sciences,Biochemistry & Molecular Biology,Wallace,Margaret,SCIENCE/ENGINEERING,JOHN JAY,ASSTP,"$4,080.00",Extraction of human spermatozoa from sexual assault swabs: Development of magento immmuno procedure
Life & Earth Sciences,Biology,Brancaccio Taras,Loretta,BIOLOGICAL SCIENCE,KINGSBOROUGH C. C.,ASSCP,"$3,840.00",Identification of marine actinomycetes isolated from Jamaica Bay of characterization of the antibiotics they produce.
Life & Earth Sciences,Biology,Brazill,Derrick,BIOLOGICAL SCIENCE,HUNTER COLLEGE,ASSTP,"$3,500.00",Quorum Sensing in the Eukaryote Dictyostelium discoideum
Life & Earth Sciences,Biology,Buffenstein,Rochelle,BIOLOGY,CITY COLLEGE,ASSCP,"$4,500.00",Aerobic capacity of naked mole rats
Life & Earth Sciences,Biology,Chappell,Richard,BIOLOGICAL SCIENCE,HUNTER COLLEGE,PROF,"$3,711.00",Development of Evidence Regarding GABAergic Mechanisms and the ERG.
Life & Earth Sciences,Biology,Cheng,Haiping,BIOLOGICAL SCIENCE,LEHMAN COLLEGE,ASSTP,"$3,500.00",Characterization of the expression of succinoglycan biosynthesis genes during root hair invasion.
Life & Earth Sciences,Biology,Cohen,William,BIOLOGICAL SCIENCE,HUNTER COLLEGE,PROF,"$4,000.00",Cytoskeletal organization and function during cellular morphogenesis
Life & Earth Sciences,Biology,Corin,Robert,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSCP,"$3,000.00",Mechanism of nedocromil sodium action.
Life & Earth Sciences,Biology,Ehrlich,Yigal,BIOLOGY,COLLEGE OF STATEN ISLAND,PROF,"$3,840.00",Ecto-Protein Kinase C in the maintenance of Neuronal Homostasis
Life & Earth Sciences,Biology,Eshel,Dan,BIOLOGY,BROOKLYN COLLEGE,ASSCP,"$3,800.00",Regulation of the Mitotic Apparatus in cells with different ploidy States
Life & Earth Sciences,Biology,Franz,David,BIOLOGY,BROOKLYN COLLEGE,PROF,"$3,220.00",On the Contribution of Mussel Berms to Marsh Ponding and Erosion in Jamaica Bay NY.
Life & Earth Sciences,Biology,Friedman,S. Marvin,BIOLOGY,HUNTER COLLEGE,PROF,"$3,644.00",Plasmid-associated Thermosensitivity in Bacillus subtilis
Life & Earth Sciences,Biology,Gavin,Ray,BIOLOGY,BROOKLYN COLLEGE,PROF,"$4,000.00",Function of MYO1 in Tetrahymena
Life & Earth Sciences,Biology,Hogan,Michael,BIOLOGY,COLLEGE OF STATEN ISLAND,OTHER,"$3,000.00",Regulation of hippocampal neuronal activity by melatonin
Life & Earth Sciences,Biology,Jensen,Thomas,BIOLOGY,LEHMAN COLLEGE,PROF,"$3,711.00",Uptake of Metals by Microbes and their Release
Life & Earth Sciences,Biology,Kramer,Charles,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSCP,"$3,710.00","The Effect of DEHP and DBP as possible disruptors of ovary to testis  transformation in hormone induced sex reversing Thalassoma bifasciatum, A renewal proposal."
Life & Earth Sciences,Biology,L'Amoreaux,William,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSTP,"$3,300.00",Apoptosis in tick salivary glands
Life & Earth Sciences,Biology,Ma,PoKay,BIOLOGY,QUEENS COLLEGE,ASSTP,"$5,400.00",Proliferative pattern and fate of newly generated neurons in the adult zebrafish brain.
Life & Earth Sciences,Biology,Magazine,Harold,BIOLOGY,QUEENS COLLEGE,ASSCP,"$3,711.00",Comparative Neurobiology of Endothelin signaling
Life & Earth Sciences,Biology,McCoy,Elena,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSCP,"$4,650.00",The ATR Response and Quorum sensing in Escherichia coli and Salmonella typhumurium
Life & Earth Sciences,Biology,Mundinger,Paul,BIOLOGY,QUEENS COLLEGE,PROF,"$3,800.00",Inter-strain Differences in Female Canary Responses to Male Song.
Life & Earth Sciences,Biology,Muth,Theodore,BIOLOGY,BROOKLYN COLLEGE,ASSTP,"$5,000.00",Plant factors critical for Agrobacterium tumefaciens mediated transformation
Life & Earth Sciences,Biology,Nishiura,James,BIOLOGY,BROOKLYN COLLEGE,ASSCP,"$2,397.00",Mosquito genes involved in programmed cell death
Life & Earth Sciences,Biology,O'Connor,Timothy,BIOLOGY,CITY COLLEGE,ASSTP,"$5,158.00",Physiological mechanisms of metabolic acclimatization in house finches
Life & Earth Sciences,Biology,Patwary,Mohsin,BIOLOGY,MEDGAR EVERS COLLEGE,ASSCP,"$5,000.00",Isolation Molecular Characterization and Expression Studies of a cDNA Encoding a LIM Domain Protein   in Sea Scallop
Life & Earth Sciences,Biology,Pierce,Valerie,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSTP,"$5,120.00",Acclimation and Evolution in Drosophila melanogaster: Implications for Metabolic control
Life & Earth Sciences,Biology,Raps,Shirley,BIOLOGICAL SCIENCE,HUNTER COLLEGE,PROF,"$4,250.00",Analysis of Microcystin Gene Regulation
Life & Earth Sciences,Biology,Rockwell,Robert,BIOLOGY,CITY COLLEGE,PROF,"$4,800.00",Habitat Degradation and Lesser Snow Geese: Assessing the Impact on Freshwater Marshes.
Life & Earth Sciences,Biology,Roze,Uldis,BIOLOGY,QUEENS COLLEGE,PROF,"$3,711.00",Proteinuria in the porcupine
Life & Earth Sciences,Biology,Rudner,Rivka,BIOLOGY,HUNTER COLLEGE,PROF,"$3,000.00","Cooperative Colonial Patterning in ""Bacilli"""
Life & Earth Sciences,Biology,Savage-Dunn,Cathy,BIOLOGY,QUEENS COLLEGE,ASSTP,"$5,000.00","Mutational analysis  of sma-9, a candidate TGFB signaling modifier"
Life & Earth Sciences,Biology,Short,Timothy,BIOLOGY,QUEENS COLLEGE,ASSTP,"$4,000.00",Ceratopteris richardii as a model for studying photoperception and photomorphogenesis
Life & Earth Sciences,Biology,Spatz,Linda,MEDICAL SCHOOL,CITY COLLEGE,ASSTP,"$5,400.00",A Breakdown of tolerance in dsDNA binding B cells overexpressing CD19
Life & Earth Sciences,Biology,Szalay,Jeanne,BIOLOGY,QUEENS COLLEGE,PROF,"$4,000.00",Regulation of metastatic potential by morphine
Life & Earth Sciences,Earth & Environmental Sciences,Alexander,Jane,ENGINEERING SCIENCE & PHYSICS,COLLEGE OF STATEN ISLAND,ASSTP,"$4,639.00",Characterization of metal contaminated sediments on Staten Island
Life & Earth Sciences,Earth & Environmental Sciences,Brueckner,Hannes,EARTH & ENVIRONMENTAL SCIENCE,QUEENS COLLEGE,PROF,"$3,711.00",Garnet Peridotite and Tectonics
Life & Earth Sciences,Earth & Environmental Sciences,Carpi,Anthony,SCIENCE/ENGINEERING,JOHN JAY,ASSTP,"$4,639.00",Mercury Deposition to Critical Waters in NY State
Life & Earth Sciences,Earth & Environmental Sciences,Chamberlain,John Jr.,GEOLOGY AND GEOGRAPHY,BROOKLYN COLLEGE,PROF,"$3,711.00","Unconformities in the upper cretaceous rocks of SW South Dakota: Implications for the paleontology, paleogeography and paleoenvironment of the Western Interior Seaway"
Life & Earth Sciences,Earth & Environmental Sciences,Coch,Nicholas,EARTH & ENVIRONMENTAL SCIENCE,QUEENS COLLEGE,PROF,"$3,711.00",Retreat Processes and Rates Sediment Yield and Fractionation and Sediment Dispersal and Facies in the Headland Apron at Lloyd's Neck Long Island Sound NY
Life & Earth Sciences,Earth & Environmental Sciences,Friedman,Gerald,GEOLOGY AND GEOGRAPHY,BROOKLYN COLLEGE,DISTP,"$3,711.00",Carbonate Beachrock and the Climate Debate
Life & Earth Sciences,Earth & Environmental Sciences,Gedzelman,Stanley,EARTH & ATMOSPHERIC SCIENCES,CITY COLLEGE,PROF,"$3,711.00",Weather Features in the Greater NYC Metro Area
Life & Earth Sciences,Earth & Environmental Sciences,Habib,Daniel,EARTH & ENVIRONMENTAL SCIENCE,QUEENS COLLEGE,PROF,"$3,711.00",Biogeography of Dinoflagellates across the Cretaceous-Tertiary boundary (Ktb)
Life & Earth Sciences,Earth & Environmental Sciences,Lanzetta,Peter,BIOLOGICAL SCIENCE,KINGSBOROUGH C. C.,PROF,"$3,711.00",Comparison of Accumulated Toxic Heavy Metals in the Seagrasses of Jamaica Bay and the Great South Bay
Life & Earth Sciences,Earth & Environmental Sciences,Leung,Irene,GEOLOGY AND GEOGRAPHY,LEHMAN COLLEGE,PROF,"$3,711.00",Study of Macroscopic Fluid Inclusions in Diamond
Life & Earth Sciences,Earth & Environmental Sciences,McHugh,Cecilia,EARTH & ENVIRONMENTAL SCIENCE,QUEENS COLLEGE,ASSCP,"$3,711.00",Was the NJ Continental shelf uncovered to the shelf break during glacial times? Answers from the sedimentary record
Life & Earth Sciences,Earth & Environmental Sciences,Powell,Wayne,GEOLOGY AND GEOGRAPHY,BROOKLYN COLLEGE,ASSTP,"$4,639.00",A petrologic Study of Bacterial Sulfide Structures in the Burgess Shale Formation
Life & Earth Sciences,Earth & Environmental Sciences,Prezant,Robert,BIOLOGY,QUEENS COLLEGE,PROF,"$3,711.00",Comparative Coastal Biodiversity of Long Island's North Shore : Year 2
Life & Earth Sciences,Earth & Environmental Sciences,Steiner,Jeffrey,EARTH & ATMOSPHERIC SCIENCES,CITY COLLEGE,PROF,"$3,711.00",Optical Microscope Imaging of Bacteria Mineral Interactions
Life & Earth Sciences,Earth & Environmental Sciences,Veit,Richard,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSTP,"$4,639.00",Forest Fragmentation and population dynamics of Staten Island Birds
Life & Earth Sciences,Earth & Environmental Sciences,Wallace,Willliam,BIOLOGY,COLLEGE OF STATEN ISLAND,ASSTP,"$4,639.00","Alterations in feeding rate as a measure of sublethal metal toxicity in fiddler crabs: The Interactions of salinity and mix metal exposures (Cd, Cr and Zn)"
Life & Earth Sciences,Earth & Environmental Sciences,Zheng,Yan,EARTH & ENVIRONMENTAL SCIENCE,QUEENS COLLEGE,ASSTP,"$4,639.00",Oxidation kinetics of Arsenic III in natural waters
Life & Earth Sciences,Health Sciences,Babyar,Suzanne,PHYSICAL THERAPY,HUNTER COLLEGE,ASSTP,"$3,700.00",Effect of Upper  Extremity Reaching on the Scapulothoracic Kinematics and Center of Pressure for Individuals with Hemiparesis
Life & Earth Sciences,Health Sciences,Banerjee,Shailesh,PHYSIOLOGY,CITY COLLEGE,PROF,"$3,300.00",Glutamate in the  Pathophysiology  of Parkinson's Disease
Life & Earth Sciences,Health Sciences,Brigati,Denise,NURSING,BOROUGH OF MANHATTAN C. C.,ASSTP,"$4,600.00",Use of the METI Human Patient  Simulator for Interdisciplinary Education & Training
Life & Earth Sciences,Health Sciences,Chan,Christopher,MEDICAL SCHOOL,CITY COLLEGE,ASSTP,"$4,000.00",The Lateral Habenula Nucleus' Regulatory Role in the Forebrain Raphe Circuit
Life & Earth Sciences,Health Sciences,Dunbar,Christopher,PHYSICAL EDUCATION,BROOKLYN COLLEGE,PROF,"$3,173.00",Left Atrail Abnormality & Cardiac Ischemia During Graded Exercise Testing
Life & Earth Sciences,Health Sciences,Grassman,Jean,HEALTH SCIENCES,BROOKLYN COLLEGE,ASSTP,"$6,000.00",An immunoassay to detect organophosphate pesticide induced acetylcholinesterase inhibition in humans that eliminates the need for preexposure measurements of enzyme activity
Life & Earth Sciences,Health Sciences,Holland,Thomas,PHYSICAL THERAPY,HUNTER COLLEGE,ASSTP,"$2,000.00",Noninvasive Assessment of Blood Flow in the lower extremities after thermal applications
Life & Earth Sciences,Health Sciences,Kalsner,Stanley,MEDICAL SCHOOL,CITY COLLEGE,PROF,"$3,700.00",Interaction of Norepinephrine and Serotonin on Serotonin Release From Somatodendritic Regions 'In Vitro.'
Life & Earth Sciences,Health Sciences,Lipovac,Milo,OTHER,HUNTER COLLEGE,ASSCP,"$4,800.00",Genetic Components of Nicotine Specific Effect On the Central Nervous System.
Life & Earth Sciences,Health Sciences,McBeth,Dani,BIOMEDICAL,CITY COLLEGE,ASSCP,"$4,000.00",Antibiotics from Plants
Life & Earth Sciences,Health Sciences,Nathan,Marc,MEDICAL SCHOOL,CITY COLLEGE,PROF,"$3,300.00",Neurotransmitters of brain stem areas used in baroreflex regulation of arterial pressure
Life & Earth Sciences,Health Sciences,Navder,Khursheed,URBAN PUBLIC HEALTH,HUNTER COLLEGE,ASSCP,"$3,700.00",Effect of Dilinoleoylphosphatidylcholine on alcohol induced injury in Rats
Life & Earth Sciences,Health Sciences,Salcedo,Miguelangel,COMPUTER SCIENCE,NYC TECHNICAL COLLEGE,ASSTP,"$4,000.00",An evaluation of Iridology revisited
Life & Earth Sciences,Health Sciences,Sammarco,Angela,NURSING,COLLEGE OF STATEN ISLAND,ASSTP,"$6,000.00","Perceived Social support , uncertainty and quality of life among older women with breast cancer"
Life & Earth Sciences,Health Sciences,Tomita,Mark,HEALTH SCIENCE,BROOKLYN COLLEGE,ASSCP,"$5,100.00",An Exploratory Study of Body Accessibility beliefs in casual relationships among college students
Life & Earth Sciences,Health Sciences,Yu,Wan-hua,MEDICAL SCHOOL,CITY COLLEGE,ASSCP,"$4,500.00",The Role Of Nitric Oxide in Neuronal Injury.
Life & Earth Sciences,Physiological Psychology,Abramov,Israel,PSYCHOLOGY,BROOKLYN COLLEGE,PROF,"$3,645.00",Binocular Contrast Summation
Life & Earth Sciences,Physiological Psychology,Barr,Gordon,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$3,000.00",Role of AMPA glutamate receptors in morphine withdrawal of infant rats
Life & Earth Sciences,Physiological Psychology,Bodnar,Richard,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$4,000.00",Opioid Receptors Mediating Feeding Induced By opioid peptides
Life & Earth Sciences,Physiological Psychology,Borod,Joan,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$3,800.00",Emotional Processing Deficits (EPDs) in Parkinson's Disease (PD)
Life & Earth Sciences,Physiological Psychology,Foldi,Nancy,PSYCHOLOGY,QUEENS COLLEGE,ASSCP,"$5,100.00",Assessing Attention  and Response to Acetycholinesterase Inhibitors in Alzheimer's Disease
Life & Earth Sciences,Physiological Psychology,Gordon,James,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$4,000.00",The Development of Cortical Inhibitory Activity in Human Infants studied with the Visual Evoked Potential
Life & Earth Sciences,Physiological Psychology,Hainline,Louise,PSYCHOLOGY,BROOKLYN COLLEGE,PROF,"$3,800.00",Development of Interactions between Vergence and accommodation in infants
Life & Earth Sciences,Physiological Psychology,Halperin,Jeffrey,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$4,000.00",Neuropsychological  and parenting factors in disruptive preschool children
Life & Earth Sciences,Physiological Psychology,Johnson,Ray,PSYCHOLOGY,QUEENS COLLEGE,PROF,"$3,800.00",A Study of Cognitive and Neural Basis of Deception
Life & Earth Sciences,Physiological Psychology,Kest,Benjamin,PSYCHOLOGY,COLLEGE OF STATEN ISLAND,ASSTP,"$4,700.00",Strain survey of chronic morphine hyperalgesia
Life & Earth Sciences,Physiological Psychology,Kurylo,Daniel,PSYCHOLOGY,BROOKLYN COLLEGE,ASSTP,"$4,417.00",Effect of Quinperole on Learning Extinction in Rats
Life & Earth Sciences,Physiological Psychology,Moller,Peter,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$4,000.00",Gonadal steroid effects on anatomy and behavior
Life & Earth Sciences,Physiological Psychology,Spielman,Arthur,PSYCHOLOGY,CITY COLLEGE,PROF,"$3,600.00",The Daily Rhythm of Brain Blood Flow
Life & Earth Sciences,Physiological Psychology,Topoff,Howard,PSYCHOLOGY,HUNTER COLLEGE,PROF,"$3,500.00",Colony takeover by parasitic ant queens
Life & Earth Sciences,Physiological Psychology,Wallman,Josh,BIOLOGY,CITY COLLEGE,PROF,"$3,800.00",Does visual attention help keep saccadic eye movements accurate?
Life & Earth Sciences,Physiological Psychology,Zeigler,Harris,PSYCHOLOGY,HUNTER COLLEGE,DISTP,"$3,000.00",Developmental plasticity in the rodent  whisker system II
Interdisciplinary,Ethnic & Area Studies,Carlebach,Elisheva,HISTORY,QUEENS COLLEGE,PROF,"$5,784.00",Jewish-Christian Tension in Early Modern Prague: The Abeles Case
Interdisciplinary,Ethnic & Area Studies,Cartelli,Mary Anne,CLASSICAL & ORIENTAL STUDIES,HUNTER COLLEGE,ASSTP,"$8,500.00",A Study of the Mount Wutai Poems from the Dunhuang Manuscripts of the British Library and the Bibliotheque Nationale
Interdisciplinary,Ethnic & Area Studies,Danzger,Herbert,SOCIOLOGY,LEHMAN COLLEGE,PROF,$277.00,"The Return of Traditional Judaism of Soviet Emigres in America, the Former Soviet Union and in Israel: A Comparative Study"
Interdisciplinary,Ethnic & Area Studies,Guida,George,ENGLISH,NYC TECHNICAL COLLEGE,ASSTP,"$5,170.00",Spectacles of Ourselves: Studies in Italian American Humor
Interdisciplinary,Ethnic & Area Studies,Hernandez,Orlando,HUMANITIES,HOSTOS C. C.,ASSCP,"$6,835.00",Unpublished Work By Puerto Rican Poet Graciany Miranda Archilla
Interdisciplinary,Ethnic & Area Studies,Lin,Yi-Chun Tricia,ENGLISH,BOROUGH OF MANHATTAN C. C.,ASSTP,"$7,627.00",Re-Mapping the Other: Cultural Transition in the Asian/Pacific and Caribbean America
Interdisciplinary,Ethnic & Area Studies,Shen,Shuang,ENGLISH,QUEENSBOROUGH C. C.,ASSTP,$500.00,Three Writers of the Chinese Diaspora: A Book Project
Interdisciplinary,Interdisciplinary Studies,Bosque-Perez,Ramon,PUERTO RICAN STUDIES,HUNTER COLLEGE,OTHER,"$4,800.00",Persecucion y Lucha : The Politics of Human Rights in the Puerto Rican Context
Interdisciplinary,Interdisciplinary Studies,Greetham,David,ENGLISH,GRADUATE SCHOOL,DISTP,"$5,150.00",Twice Told Tales: An electronic database of revisited texts in the arts
Interdisciplinary,Interdisciplinary Studies,Levin,Gail,FINE ARTS,BARUCH COLLEGE,PROF,"$4,000.00","Secular Judaism, Radical Politics, and Feminist Art"
Interdisciplinary,Interdisciplinary Studies,Malroutu,Lakshmi,"FAMILY, NUTRITION, AND EXERCIS",QUEENS COLLEGE,ASSCP,"$3,180.00","College Students' Money Attitudes and their spending, credit, debit  and saving patterns"
Interdisciplinary,Interdisciplinary Studies,Perkins,Linda,EDUCATIONAL FOUNDATIONS,HUNTER COLLEGE,ASSCP,"$4,900.00",The Search for Talented Negro Youth: The National Scholarship Service and Negro Students. 1947-1968
Interdisciplinary,Interdisciplinary Studies,Roman,Peter,BEHAVIORAL SCIENCE,HOSTOS C. C.,PROF,"$4,704.00",The Cuban National Assembly: An Assessment
Interdisciplinary,Interdisciplinary Studies,Singer,Robert,ENGLISH,KINGSBOROUGH C. C.,ASSCP,"$3,840.00",Survival of the Image: The Naturalist Silent Film
Interdisciplinary,Interdisciplinary Studies,Suggs,Jon-Christian,ENGLISH,JOHN JAY,PROF,"$3,966.00","Archives, Interviews, and Transcriptions for A Cosmopolitan Man: Culture and Identity in the Life of Walter Francis White, 1893-1955"
Interdisciplinary,Interdisciplinary Studies,Thomas,Silvea,HEALTH AND PHYSICAL EDUCATION,KINGSBOROUGH C. C.,ASSCP,"$4,490.00",Caribbean Women: Assessment of Menopause Knowledge and Attitudes of English Speaking Implications for Health Education
Interdisciplinary,Interdisciplinary Studies,Uppal,Jyotsna,HISTORY,QUEENS COLLEGE,ASSTP,"$4,760.00",Cultural  Crossroads in an American Courtroom: The Case of Holy Sperm
Interdisciplinary,Interdisciplinary Studies,Walters,Barbara,BEHAVIORAL SCIENCE,KINGSBOROUGH C. C.,ASSTP,"$5,740.00",A Sociology of the Medieval Roman Catholic Ecclesia and the Feast of Corpus Christi
Interdisciplinary,Interdisciplinary Studies,Will,Susan,SOCIOLOGY,JOHN JAY,ASSTP,"$5,763.00","Where the Fraser River Flows: Salmon, Rights, Social- Economic Relations and Law"
Interdisciplinary,Women's Studies,Anderson,Bonnie,HISTORY,BROOKLYN COLLEGE,PROF,"$4,840.00",Global Feminism Across the Centuries: A Reader
Interdisciplinary,Women's Studies,Antoniello,Patricia,WOMEN'S STUDIES,BROOKLYN COLLEGE,ASSCP,"$3,600.00",Life Force: The Women's Life Stories Project.
Interdisciplinary,Women's Studies,Blasius,Mark,SOCIAL SCIENCE,LAGUARDIA C. C.,PROF,"$4,040.00",Sexuality and Social Justice
Interdisciplinary,Women's Studies,Currah,Paisley,POLITICAL SCIENCE/GOVERNMENT,BROOKLYN COLLEGE,PROF,"$2,800.00",Legislating Genders
Interdisciplinary,Women's Studies,Eisenstein,Hester,SOCIOLOGY,QUEENS COLLEGE,PROF,"$3,630.00","Gender, Globalization, and the Women's Movement."
Interdisciplinary,Women's Studies,Farrell,Susan,BEHAVIORAL SCIENCE,KINGSBOROUGH C. C.,ASSCP,"$4,320.00","Creating Women-Church: Feminist  Religious Ideology, Ethics, an Practice on Institutional Margins"
Interdisciplinary,Women's Studies,Gelb,Joyce,POLITICAL SCIENCE/GOVERNMENT,CITY COLLEGE,PROF,"$4,400.00",Gender and Political Change in Japan: Comparing Equal Employment and Domestic Violence Policy
Interdisciplinary,Women's Studies,Katz,Jane,PHYSICAL EDUCATION,JOHN JAY,PROF,"$3,840.00","Aquatic Rehabilitation for Disabled Women, A Global Approach"
